type,name,level,address,datatype,accuracy,unit,models,datarange,mask,default,smart_meter
read,protocol_number,2,4950,U32,,,SH5K-20|SH3K6|SH4K6|SH5K-V13|SH5K-30|SH3K6-30|SH4K6-30|SH5.0RS|SH3.6RS|SH4.6RS|SH6.0RS|SH10RT|SH10RT-V112|SH10RT-20|SH8.0RT|SH6.0RT|SH5.0RT|SH5.0RT-V112,,,,
read,protocol_version,2,4952,U32,,,SH5K-20|SH3K6|SH4K6|SH5K-V13|SH5K-30|SH3K6-30|SH4K6-30|SH5.0RS|SH3.6RS|SH4.6RS|SH6.0RS|SH10RT|SH10RT-V112|SH10RT-20|SH8.0RT|SH6.0RT|SH5.0RT|SH5.0RT-V112,,,,
read,arm_software_version,2,4954,U16,,,SH5K-20|SH3K6|SH4K6|SH5K-V13|SH5K-30|SH3K6-30|SH4K6-30|SH5.0RS|SH3.6RS|SH4.6RS|SH6.0RS|SH10RT|SH10RT-V112|SH10RT-20|SH8.0RT|SH6.0RT|SH5.0RT|SH5.0RT-V112,,,,
read,dsp_software_version,2,4969,U16,,,SH5K-20|SH3K6|SH4K6|SH5K-V13|SH5K-30|SH3K6-30|SH4K6-30|SH5.0RS|SH3.6RS|SH4.6RS|SH6.0RS|SH10RT|SH10RT-V112|SH10RT-20|SH8.0RT|SH6.0RT|SH5.0RT|SH5.0RT-V112,,,,
read,serial_number,3,4990,UTF-8,,,,,,,
read,device_type_code,3,5000,U16,,,,"[{""response"": 39, ""value"": ""SG30KTL""}, {""response"": 38, ""value"": ""SG10KTL""}, {""response"": 41, ""value"": ""SG12KTL""}, {""response"": 40, ""value"": ""SG15KTL""}, {""response"": 42, ""value"": ""SG20KTL""}, {""response"": 44, ""value"": ""SG30KU""}, {""response"": 45, ""value"": ""SG36KTL""}, {""response"": 46, ""value"": ""SG36KU""}, {""response"": 47, ""value"": ""SG40KTL""}, {""response"": 309, ""value"": ""SG40KTL-M""}, {""response"": 283, ""value"": ""SG50KTL-M""}, {""response"": 305, ""value"": ""SG60KTL-M""}, {""response"": 310, ""value"": ""SG60KU""}, {""response"": 321, ""value"": ""SG30KTL-M""}, {""response"": 112, ""value"": ""SG30KTL-M-V31""}, {""response"": 308, ""value"": ""SG33KTL-M""}, {""response"": 116, ""value"": ""SG36KTL-M""}, {""response"": 317, ""value"": ""SG33K3J""}, {""response"": 311, ""value"": ""SG49K5J""}, {""response"": 114, ""value"": ""SG34KJ""}, {""response"": 115, ""value"": ""LP_P34KSG""}, {""response"": 283, ""value"": ""SG50KTL-M-20""}, {""response"": 271, ""value"": ""SG60KTL""}, {""response"": 312, ""value"": ""SG80KTL""}, {""response"": 312, ""value"": ""SG80KTL-20""}, {""response"": 306, ""value"": ""SG60KU-M""}, {""response"": 327, ""value"": ""SG5KTL-MT""}, {""response"": 328, ""value"": ""SG6KTL-MT""}, {""response"": 319, ""value"": ""SG8KTL-M""}, {""response"": 318, ""value"": ""SG10KTL-M""}, {""response"": 11279, ""value"": ""SG10KTL-MT""}, {""response"": 316, ""value"": ""SG12KTL-M""}, {""response"": 322, ""value"": ""SG15KTL-M""}, {""response"": 329, ""value"": ""SG17KTL-M""}, {""response"": 323, ""value"": ""SG20KTL-M""}, {""response"": 313, ""value"": ""SG80KTL-M""}, {""response"": 332, ""value"": ""SG111HV""}, {""response"": 315, ""value"": ""SG125HV""}, {""response"": 11267, ""value"": ""SG125HV-20""}, {""response"": 11280, ""value"": ""SG30CX""}, {""response"": 11264, ""value"": ""SG33CX""}, {""response"": 11274, ""value"": ""SG36CX-US""}, {""response"": 11265, ""value"": ""SG40CX""}, {""response"": 11266, ""value"": ""SG50CX""}, {""response"": 11275, ""value"": ""SG60CX-US""}, {""response"": 11270, ""value"": ""SG110CX""}, {""response"": 11276, ""value"": ""SG250HX""}, {""response"": 11281, ""value"": ""SG250HX-US""}, {""response"": 11282, ""value"": ""SG100CX""}, {""response"": 11282, ""value"": ""SG100CX-JP""}, {""response"": 11283, ""value"": ""SG250HX-IN""}, {""response"": 11285, ""value"": ""SG25CX-SA""}, {""response"": 11298, ""value"": ""SG75CX""}, {""response"": 9277, ""value"": ""SG3.0RT""}, {""response"": 9278, ""value"": ""SG4.0RT""}, {""response"": 9264, ""value"": ""SG5.0RT""}, {""response"": 9265, ""value"": ""SG6.0RT""}, {""response"": 9276, ""value"": ""SG7.0RT""}, {""response"": 9266, ""value"": ""SG8.0RT""}, {""response"": 9267, ""value"": ""SG10RT""}, {""response"": 9268, ""value"": ""SG12RT""}, {""response"": 9269, ""value"": ""SG15RT""}, {""response"": 9270, ""value"": ""SG17RT""}, {""response"": 9271, ""value"": ""SG20RT""}, {""response"": 3337, ""value"": ""SH5K-20""}, {""response"": 3334, ""value"": ""SH3K6""}, {""response"": 3335, ""value"": ""SH4K6""}, {""response"": 3331, ""value"": ""SH5K-V13""}, {""response"": 3340, ""value"": ""SH5K-30""}, {""response"": 3338, ""value"": ""SH3K6-30""}, {""response"": 3339, ""value"": ""SH4K6-30""}, {""response"": 3343, ""value"": ""SH5.0RS""}, {""response"": 3341, ""value"": ""SH3.6RS""}, {""response"": 3342, ""value"": ""SH4.6RS""}, {""response"": 3344, ""value"": ""SH6.0RS""}, {""response"": 3587, ""value"": ""SH10RT""}, {""response"": 3599, ""value"": ""SH10RT-V112""}, {""response"": 3603, ""value"": ""SH10RT-20""}, {""response"": 3586, ""value"": ""SH8.0RT""}, {""response"": 3585, ""value"": ""SH6.0RT""}, {""response"": 3584, ""value"": ""SH5.0RT""}, {""response"": 3596, ""value"": ""SH5.0RT-V112""}, {""response"": 290, ""value"": ""SG3K-D""}, {""response"": 294, ""value"": ""SG5K-D""}, {""response"": 9219, ""value"": ""SG8K-D""}, {""response"": 9731, ""value"": ""SG3.0RS""}, {""response"": 9732, ""value"": ""SG3.6RS""}, {""response"": 9733, ""value"": ""SG4.0RS""}, {""response"": 9734, ""value"": ""SG5.0RS""}, {""response"": 9735, ""value"": ""SG6.0RS""}, {""response"": 9742, ""value"": ""SG9.0RS""}, {""response"": 9737, ""value"": ""SG10RS""}]",,,
read,nominal_active_power,2,5001,U16,0.1,kW,,,,,
read,output_type,2,5002,U16,,,,"[{""response"": 0, ""value"": ""2P""}, {""response"": 1, ""value"": ""3P4L""}, {""response"": 2, ""value"": ""3PSL""}]",,,
read,daily_power_yields,0,5003,U16,0.1,kWh,,,,,
read,total_power_yields,1,5004,U32,,kWh,,,,,
